date/time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-10-24T15:46:19.080Z,37.135,138.833,10,4.2,mb,13,137.7,,0.68,us,usp000d6zs,2014-11-07T01:23:48.703Z,"5 km E of T?kamachi, Japan",earthquake,,,,2,reviewed,us,us
2004-10-24T15:36:54.960Z,33.511,137.917,300.3,4,mb,19,170.3,,0.75,us,usp000d6zr,2014-11-07T01:23:48.701Z,"124 km SSW of ?yama, Japan",earthquake,,9.6,,3,reviewed,us,us
2004-10-24T15:28:08.840Z,37.187,138.676,13.2,5.2,mwc,324,98.8,,0.68,us,usp000d6zp,2022-05-02T17:31:20.290Z,"10 km NW of T?kamachi, Japan",earthquake,,,,,reviewed,us,hrv
2004-10-24T14:00:31.380Z,37.05,138.928,15.3,4.8,mwr,46,124.9,,1.03,us,usp000d6zj,2014-11-07T01:23:48.650Z,"4 km ESE of Muikamachi, Japan",earthquake,,10.7,,,reviewed,us,nied
2004-10-24T09:06:07.760Z,38.174,142.129,43.9,4.4,mwr,33,114.3,,1.02,us,usp000d6z2,2014-11-07T01:23:48.572Z,"77 km ESE of Ishinomaki, Japan",earthquake,,,,,reviewed,us,nied
2004-10-24T08:21:40.500Z,37.276,138.756,10,4.1,mb,19,129.1,,0.81,us,usp000d6yz,2014-11-07T01:23:48.563Z,"near the west coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2004-10-24T07:06:31.710Z,37.277,138.774,13.1,4.3,mwr,102,115.8,,0.81,us,usp000d6yu,2014-11-07T01:23:48.548Z,"3 km SW of Ojiya, Japan",earthquake,,,,,reviewed,us,nied
2004-10-24T05:21:34.570Z,37.266,138.633,10,4.8,mwc,227,115.8,,0.76,us,usp000d6yk,2016-11-10T00:49:55.113Z,"13 km SSE of Kashiwazaki, Japan",earthquake,,,,,reviewed,us,hrv
2004-10-24T04:54:24.070Z,37.178,138.746,10,3.9,mb,15,128.9,,0.77,us,usp000d6yh,2014-11-07T01:23:48.496Z,"5 km NNW of T?kamachi, Japan",earthquake,,,,2,reviewed,us,us
2004-10-24T03:16:13.320Z,37.466,137.664,10,4.3,mb,9,113.3,,0.65,us,usp000d6ya,2014-11-07T01:23:48.472Z,"50 km NNW of Itoigawa, Japan",earthquake,,,,1,reviewed,us,us
2004-10-24T01:29:18.450Z,37.32,138.984,10,4.2,mb,26,115.8,,0.87,us,usp000d6y4,2014-11-07T01:23:48.460Z,"16 km E of Ojiya, Japan",earthquake,,,,5,reviewed,us,us
2004-10-24T01:05:58.440Z,37.073,138.554,10,4.2,mwr,57,133,,0.98,us,usp000d6y3,2014-11-07T01:23:48.455Z,"20 km WSW of T?kamachi, Japan",earthquake,,0,,,reviewed,us,nied
2004-10-24T00:28:03.880Z,37.206,138.77,16.6,4.6,mwr,107,112.5,,0.77,us,usp000d6y0,2014-11-07T01:23:48.418Z,"8 km N of T?kamachi, Japan",earthquake,,,,,reviewed,us,nied
